"Query","Match","HMDB","PubChem","KEGG","SMILES","Comment"
"Fructose 6-phosphate","Fructose 6-phosphate","HMDB0000124","69507","C00085","C([C@H]([C@H]([C@@H](C(=O)CO)O)O)O)OP(=O)(O)O","1"
"Glycyl-glycine","Glycyl-glycine","HMDB0011733","11163","C02037","C(C(=O)NCC(=O)O)N","1"
"Guanosine monophosphate","Guanosine monophosphate","HMDB0001397","6804","C00144","C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O)NC(=NC2=O)N","1"
"Inosinic acid","Inosinic acid","HMDB0000175","8582","C00130","C1=NC(=O)C2=C(N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)(O)O)O)O","1"
"L-Alanine","L-Alanine","HMDB0000161","5950","C00041","C[C@@H](C(=O)O)N","1"
"L-Norleucine","L-Norleucine","HMDB0001645","21236","C01933","CCCC[C@@H](C(=O)O)N","1"
"Maleic acid","Maleic acid","HMDB0000176","444266","C01384","C(=C\C(=O)O)\C(=O)O","1"
"PE140/140","NA","NA","NA","NA","NA","0"
"Phosphoric acid","Phosphoric acid","HMDB0002142","1004","C00009","OP(=O)(O)O","1"
"Phosphorylcholine NPS","NA","NA","NA","NA","NA","0"
"Phosphoserine","Phosphoserine","HMDB0000272","68841","C01005","C([C@@H](C(=O)O)N)OP(=O)(O)O","1"
"Pyruvic acid","Pyruvic acid","HMDB0000243","1060","C00022","CC(=O)C(=O)O","1"
"Ribitol","Ribitol","HMDB0000508",NA,"C00474","OC[C@H](O)[C@H](O)[C@H](O)CO","1"
"S-Adenosylhomocysteine","S-Adenosylhomocysteine","HMDB0000939","439155","C00021","C1=NC2=C(C(=N1)N)N=CN2[C@H]3[C@@H]([C@@H]([C@H](O3)CSCC[C@@H](C(=O)O)N)O)O","1"
"Sorbitol","Sorbitol","HMDB0000247","5780","C00794","C([C@H]([C@H]([C@@H]([C@H](CO)O)O)O)O)O","1"
"Sphinganine","Sphinganine","HMDB0000269","91486","C00836","CCCCCCCCCCCCCCC[C@H]([C@H](CO)N)O","1"
"2'-Deoxyguanosine 5'-monophosphate","2'-Deoxyguanosine 5'-monophosphate","HMDB0001044","65059","C00362","C1[C@@H]([C@H](O[C@H]1N2C=NC3=C2NC(=NC3=O)N)COP(=O)(O)O)O","1"
"5beta-Coprostanol NPS","NA","NA","NA","NA","NA","0"
"Acetoacetic acid","Acetoacetic acid","HMDB0000060","96","C00164","CC(=O)CC(=O)O","1"
"Acetylcholine NPS","NA","NA","NA","NA","NA","0"
"Alpha-D-Glucose 1,6-bisphosphate","Alpha-D-Glucose 1,6-bisphosphate","HMDB0003514","82400","C01231","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)OP(=O)(O)O)O)O)O)OP(=O)(O)O","1"
"Beta-Alanine","Beta-Alanine","HMDB0000056","239","C00099","C(CN)C(=O)O","1"
"Biotin","Biotin","HMDB0000030","171548","C00120","C1[C@H]2[C@@H]([C@@H](S1)CCCCC(=O)O)NC(=O)N2","1"
"Capric acid","Capric acid","HMDB0000511","2969","C01571","CCCCCCCCCC(=O)O","1"
"Caproic acid","Caproic acid","HMDB0000535","8892","C01585","CCCCCC(=O)O","1"
"Caprylic acid","Caprylic acid","HMDB0000482","379","C06423","CCCCCCCC(=O)O","1"
"Cycloserine NPS","NA","NA","NA","NA","NA","0"
"Cytidine triphosphate NPS","NA","NA","NA","NA","NA","0"
"D-Glucose","D-Glucose","HMDB0000122","5793","C00031","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O","1"
"Galactonolactone","Galactonolactone","HMDB0002541","151006","C03383","C1[C@H]([C@@H]([C@@H]([C@H](C(=O)O1)O)O)O)O","1"
"Galacturonic acid","Galacturonic acid","HMDB0002545","84740","C08348","C(=O)[C@@H]([C@H]([C@H]([C@@H](C(=O)O)O)O)O)O","1"
"Glucose 6-phosphate","Glucose 6-phosphate","HMDB0001401","5958","C00668","C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)OP(=O)(O)O","1"
"Heptadecanoic acid","Heptadecanoic acid","HMDB0002259","10465","","CCCCCCCCCCCCCCCCC(=O)O","1"
"Imidazoleacetic acid","Imidazoleacetic acid","HMDB0002024","96215","C02835","C1=C(NC=N1)CC(=O)O","1"
"Isocitric acid","Isocitric acid","HMDB0000193","1198","C00311","C(C(C(C(=O)O)O)C(=O)O)C(=O)O","1"
"Lipoamide","Lipoamide","HMDB0000962","863","C00248","C1CSSC1CCCCC(=O)N","1"
"L-Kynurenine","L-Kynurenine","HMDB0000684","161166","C00328","C1=CC=C(C(=C1)C(=O)C[C@@H](C(=O)O)N)N","1"
"L-Phenylalanine","L-Phenylalanine","HMDB0000159","6140","C00079","C1=CC=C(C=C1)C[C@@H](C(=O)O)N","1"
"L-Tryptophan","L-Tryptophan","HMDB0000929","6305","C00078","C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N","1"
"Methylmalonic acid","Methylmalonic acid","HMDB0000202","487","C02170","CC(C(=O)O)C(=O)O","1"
"Myo-inositol hexakisphosphate","Myo-inositol hexakisphosphate","HMDB0003502","890","C01204","C1(C(C(C(C(C1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O","1"
"Myriocin","NA","NA","NA","NA","NA","0"
"Pantothenic acid","Pantothenic acid","HMDB0000210","988","C00864","CC(C)(CO)C(C(=O)NCCC(=O)O)O","1"
"Selenomethionine","Selenomethionine","HMDB0003966","15103","C05335","C[Se]CCC(C(=O)O)N","1"
"SMd181/120","NA","NA","NA","NA","NA","0"
"Trehalose","Trehalose","HMDB0000975","7427","C01083","C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O","1"
"Uridine diphosphategalactose","Uridine diphosphategalactose","HMDB0000302","18068","C00052","C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O","1"
"Uridine diphosphate-N-acetylglucosamine","Uridine diphosphate-N-acetylglucosamine","HMDB0000290","445675","C00043","CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@@H]1OP(=O)(O)OP(=O)(O)OC[C@@H]2[C@H]([C@H]([C@@H](O2)N3C=CC(=O)NC3=O)O)O)CO)O)O","1"
"Xanthine","Xanthine","HMDB0000292","1188","C00385","C1=NC2=C(N1)C(=O)NC(=O)N2","1"
"Beta-Glycerophosphoric acid","Beta-Glycerophosphoric acid","HMDB0002520","2526","C02979","C(C(CO)OP(=O)(O)O)O","1"
"Biopterin","Biopterin","HMDB0000468","445040","C06313","C[C@@H]([C@@H](C1=CN=C2C(=N1)C(=O)N=C(N2)N)O)O","1"
"Cellobiose","Cellobiose","HMDB0000055","10712","C06422","C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](O[C@H]([C@@H]([C@H]2O)O)O)CO)O)O)O)O","1"
"D-Xylose","D-Xylose","HMDB0000098","135191","C00181","C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O","1"
"Glutathione","Glutathione","HMDB0000125","124886","C00051","C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)O)[C@@H](C(=O)O)N","1"
"L-Gulonolactone","L-Gulonolactone","HMDB0003466","439373","C01040","C([C@@H]([C@@H]1[C@@H]([C@@H](C(=O)O1)O)O)O)O","1"
"myo-Inositol","myo-Inositol","HMDB0000211",NA,"C00137","O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@H](O)[C@@H]1O","1"
"N-Acetylgalactosamine","N-Acetylgalactosamine","HMDB0000212","84265","C01074","CC(=O)N[C@@H]1[C@H]([C@H]([C@H](O[C@@H]1O)CO)O)O","1"
"NADH","NADH","HMDB0001487","928","C00004","C1C=CN(C=C1C(=O)N)C2C(C(C(O2)COP(=O)(O)OP(=O)(O)OCC3C(C(C(O3)N4C=NC5=C4N=CN=C5N)O)O)O)O","1"
"Pyrophosphate","Pyrophosphate","HMDB0000250","644102","C00013","[O-]P(=O)([O-])OP(=O)([O-])[O-]","1"
"Succinic acid semialdehyde MH1","NA","NA","NA","NA","NA","0"
"Succinic acid semialdehyde MH2","NA","NA","NA","NA","NA","0"
